Periode,Année,Mois,Production totale brute d'electricite (en GWh),Production totale nette d'electricite (en GWh),Production brute d'electricite primaire (en GWh),Production nette d'electricite primaire (en GWh),Production brute d'electricite nucleaire (en GWh),Production nette d'electricite nucleaire (en GWh),Production brute d'electricite hydraulique (en GWh),Production nette d'electricite hydraulique (en GWh),Production brute d'electricite eolienne (en GWh),Production nette d'electricite eolienne (en GWh),Production brute d'electricite photovoltaeque (en GWh),Production nette d'electricite photovoltaeque (en GWh),Production brute d'electricite thermique (en GWh),Production nette d'electricite thermique (en GWh),electricite absorbee pour les pompages (en GWh),Total des importations physiques d'electricite (en GWh),Total des exportations physiques d'electricite (en GWh),Energie appelee reelle yc pertes (consommation calculee yc pertes) (en GWh),Livraisons en basse tension (BT : FC + Corse) (en GWh),Livraisons en moyenne tension (MT : FC + Corse) (en GWh),Livraisons en haute tension (en GWh),Energie appelee reelle yc pertes corrigee du climat (en GWh),Livraisons en basse tension corrigees du climat (en GWh),Livraisons en moyenne tension corrigees du climat (en GWh),Consommation d'electricite primaire (en GWh),Consommation d'electricite primaire corrigee du climat (en GWh),Puissance maximale appelee (en GW),Indice de rigueur climatique pour la France metropolitaine (ref.1 pour la periode 1986-2015) (sans unite)
juil.83,1983,7,20857.678,20026.000,17409.498,16773.000,10954.435,10397.000, 6455.062, 6376.000,    0.000,    0.000,    0.000,    0.000, 3448.180, 3253.000,  229.000,  335.000, 1749.000,18383.000, 5182.000, 5161.000, 5522.000,18383.000, 5182.000, 5161.000,15130.000,15130.000,   32.000,    1.000
aoet.83,1983,8,18851.120,18047.000,16465.060,15796.000,12096.554,11481.000, 4368.506, 4315.000,    0.000,    0.000,    0.000,    0.000, 2386.060, 2251.000,  191.000,  271.000, 1921.000,16206.000, 4945.000, 4386.000, 4905.000,16206.000, 4945.000, 4386.000,13955.000,13955.000,   31.500,    1.000
sept.83,1983,9,21693.15,20744.00,17115.01,16425.00,12432.66,11800.00, 4682.35, 4625.00,    0.00,    0.00,    0.00,    0.00, 4578.14, 4319.00,  163.00,  365.00, 1841.00,19105.00, 5348.00, 5590.00, 5758.00,19105.00, 5348.00, 5590.00,14786.00,14786.00,   34.10,    1.00
oct.83,1983,10,24770.422595,23633.000000,17359.962595,16642.000000,13078.522995,12413.000000, 4281.439600, 4229.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7410.460000, 6991.000000,  211.000000,  449.000000, 2016.000000,21855.000000, 7327.000000, 5567.000000, 5897.000000,20753.668800, 6527.567030, 5419.504827,14864.000000,14024.303790,   40.400000,    1.272156
nov.83,1983,11,27434.165220,26154.000000,17848.585220,17111.000000,13431.484020,12748.000000, 4417.101200, 4363.000000,    0.000000,    0.000000,    0.000000,    0.000000, 9585.580000, 9043.000000,  233.000000,  852.000000, 1900.000000,24873.000000, 9272.000000, 6508.000000, 5778.000000,24628.625837, 9089.158645, 6479.036658,15830.000000,15675.832958,   45.400000,    1.044703
dec.83,1983,12,31702.332860,30234.000000,22041.492860,21120.000000,16862.054460,16004.000000, 5179.438400, 5116.000000,    0.000000,    0.000000,    0.000000,    0.000000, 9660.840000, 9114.000000,  238.000000,  686.000000, 2389.000000,28293.000000,11964.000000, 6560.000000, 5850.000000,27899.217693,11662.263673, 6522.498708,19179.000000,18939.435784,   48.300000,    1.057495
janv.84,1984,1,3.295778e+04,3.148200e+04,2.402410e+04,2.305400e+04,1.807220e+04,1.717500e+04,5.951900e+03,5.879000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.933680e+03,8.428000e+03,2.560000e+02,6.180000e+02,2.513000e+03,2.933100e+04,1.245000e+04,7.025000e+03,6.094000e+03,2.944039e+04,1.253478e+04,7.035575e+03,2.090300e+04,2.097551e+04,4.740000e+01,9.849692e-01
fevr.84,1984,2,31693.504576,30320.000000,24014.864576,23076.000000,17239.883776,16384.000000, 6774.980800, 6692.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7678.640000, 7244.000000,  157.000000,  420.000000, 2763.000000,27820.000000,11515.000000, 6793.000000, 5833.000000,26933.232148,10838.441420, 6700.059561,20576.000000,19939.826934,   47.000000,    1.138716
X1984.03.01,1984,3,31456.988703,30022.000000,22852.968703,21905.000000,17863.861503,16977.000000, 4989.107200, 4928.000000,    0.000000,    0.000000,    0.000000,    0.000000, 8604.020000, 8117.000000,  210.000000,  434.000000, 2578.000000,27668.000000,11062.000000, 6851.000000, 6070.000000,25936.181050, 9758.358626, 6653.477073,19551.000000,18301.373120,   46.000000,    1.296872
avr.84,1984,4,26228.034366,25089.000000,20738.294366,19910.000000,15356.375966,14594.000000, 5381.918400, 5316.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5489.740000, 5179.000000,  232.000000,  352.000000, 2606.000000,22603.000000, 8167.000000, 5915.000000, 6078.000000,21871.667320, 7609.474776, 5820.237173,17424.000000,16795.063483,   44.200000,    1.162816
X1984.05.01,1984,5,25704.605320,24624.000000,20399.305320,19619.000000,14184.181720,13480.000000, 6215.123600, 6139.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5305.300000, 5005.000000,  216.000000,  307.000000, 2642.000000,22073.000000, 7015.000000, 5735.000000, 6404.000000,18581.025981, 4588.050479, 5131.764663,17068.000000,13435.525754,   38.400000,    2.175493
X1984.06.01,1984,6,23307.056,22410.000,20500.176,19762.000,13024.614,12378.000, 7475.562, 7384.000,    0.000,    0.000,    0.000,    0.000, 2806.880, 2648.000,  265.000,  348.000, 2700.000,19793.000, 5608.000, 5485.000, 6099.000,19793.000, 5608.000, 5485.000,17145.000,17145.000,   36.100,    1.000
juil.84,1984,7,22828.633,21883.000,18828.193,18109.000,13064.599,12416.000, 5763.593, 5693.000,    0.000,    0.000,    0.000,    0.000, 4000.440, 3774.000,  252.000,  346.000, 2286.000,19691.000, 5446.000, 5667.000, 6248.000,19691.000, 5446.000, 5667.000,15917.000,15917.000,   33.800,    1.000
aoet.84,1984,8,20185.218,19304.000,16931.018,16234.000,13093.010,12443.000, 3838.008, 3791.000,    0.000,    0.000,    0.000,    0.000, 3254.200, 3070.000,  226.000,  411.000, 2179.000,17310.000, 5122.000, 4672.000, 5389.000,17310.000, 5122.000, 4672.000,14240.000,14240.000,   32.700,    1.000
sept.84,1984,9,23645.606,22610.000,19143.786,18363.000,14608.234,13883.000, 4535.552, 4480.000,    0.000,    0.000,    0.000,    0.000, 4501.820, 4247.000,  223.000,  390.000, 2483.000,20294.000, 6035.000, 5431.000, 6187.000,20294.000, 6035.000, 5431.000,16047.000,16047.000,   38.100,    1.000
oct.84,1984,10,26639.454931,25516.000000,22177.914931,21307.000000,16024.547731,15229.000000, 6153.367200, 6078.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4461.540000, 4209.000000,  190.000000,  426.000000, 2430.000000,23322.000000, 7590.000000, 6499.000000, 6336.000000,22842.904963, 7239.578529, 6429.838410,19113.000000,18651.567600,   39.400000,    1.107563
nov.84,1984,11,2.767790e+04,2.647400e+04,2.312838e+04,2.218200e+04,1.773128e+04,1.685100e+04,5.397104e+03,5.331000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.549520e+03,4.292000e+03,2.390000e+02,6.230000e+02,2.427000e+03,2.443100e+04,8.968000e+03,6.314000e+03,5.947000e+03,2.569032e+04,9.924130e+03,6.452139e+03,2.013900e+04,2.118206e+04,4.430000e+01,7.859024e-01
